LAMMPS data file — SPC/E water box

648 atoms
432 bonds
216 angles
0 dihedrals
0 impropers

2 atom types
1 bond types
1 angle types

0.0 18.644498 xlo xhi
0.0 18.644498 ylo yhi
0.0 18.644498 zlo zhi

Masses

1 15.9994  # O
2  1.0080  # H

Atoms  # full

101 34 2 0.4238 2.324055 17.118800 11.412587
102 34 2 0.4238 0.691074 17.118800 11.412587
103 35 1 -0.8476 1.549514 17.071625 13.956522
104 35 2 0.4238 2.366004 17.071625 14.533881
105 35 2 0.4238 0.733023 17.071625 14.533881
106 36 1 -0.8476 1.576559 17.100952 17.136008
107 36 2 0.4238 2.393049 17.100952 17.713367
108 36 2 0.4238 0.760068 17.100952 17.713367
109 37 1 -0.8476 4.705574 1.550118 1.522988
110 37 2 0.4238 5.522065 1.550118 2.100347
111 37 2 0.4238 3.889084 1.550118 2.100347
112 38 1 -0.8476 4.649602 1.589679 4.705545
113 38 2 0.4238 5.466092 1.589679 5.282904
114 38 2 0.4238 3.833111 1.589679 5.282904
115 39 1 -0.8476 4.665814 1.583498 7.800581
116 39 2 0.4238 5.482304 1.583498 8.377940
117 39 2 0.4238 3.849323 1.583498 8.377940
118 40 1 -0.8476 4.651893 1.509245 10.904811
119 40 2 0.4238 5.468384 1.509245 11.482170
120 40 2 0.4238 3.835403 1.509245 11.482170
121 41 1 -0.8476 4.636217 1.508318 14.001055
122 41 2 0.4238 5.452707 1.508318 14.578414
123 41 2 0.4238 3.819727 1.508318 14.578414
124 42 1 -0.8476 4.648579 1.598780 17.113990
125 42 2 0.4238 5.465069 1.598780 17.691349
126 42 2 0.4238 3.832088 1.598780 17.691349
127 43 1 -0.8476 4.622630 4.672031 1.517047
128 43 2 0.4238 5.439120 4.672031 2.094406
129 43 2 0.4238 3.806140 4.672031 2.094406
130 44 1 -0.8476 4.694609 4.621604 4.685589
131 44 2 0.4238 5.511099 4.621604 5.262948
132 44 2 0.4238 3.878118 4.621604 5.262948
133 45 1 -0.8476 4.710026 4.666079 7.746686
134 45 2 0.4238 5.526516 4.666079 8.324045
135 45 2 0.4238 3.893535 4.666079 8.324045
136 46 1 -0.8476 4.689508 4.674608 10.850862
137 46 2 0.4238 5.505998 4.674608 11.428221
138 46 2 0.4238 3.873017 4.674608 11.428221
139 47 1 -0.8476 4.622473 4.708573 14.006247
140 47 2 0.4238 5.438964 4.708573 14.583606
141 47 2 0.4238 3.805983 4.708573 14.583606
142 48 1 -0.8476 4.612874 4.700282 17.069276
143 48 2 0.4238 5.429364 4.700282 17.646635
144 48 2 0.4238 3.796383 4.700282 17.646635
145 49 1 -0.8476 4.641221 7.743247 1.596342
146 49 2 0.4238 5.457711 7.743247 2.173701
147 49 2 0.4238 3.824731 7.743247 2.173701
148 50 1 -0.8476 4.660585 7.741349 4.636672
149 50 2 0.4238 5.477075 7.741349 5.214031
150 50 2 0.4238 3.844094 7.741349 5.214031
151 51 1 -0.8476 4.678698 7.723012 7.752871
152 51 2 0.4238 5.495188 7.723012 8.330230
153 51 2 0.4238 3.862207 7.723012 8.330230
154 52 1 -0.8476 4.693436 7.721153 10.847034
155 52 2 0.4238 5.509926 7.721153 11.424393
156 52 2 0.4238 3.876945 7.721153 11.424393
157 53 1 -0.8476 4.695791 7.774658 13.978861
158 53 2 0.4238 5.512281 7.774658 14.556220
159 53 2 0.4238 3.879300 7.774658 14.556220
160 54 1 -0.8476 4.653143 7.754865 17.059278
161 54 2 0.4238 5.469633 7.754865 17.636637
162 54 2 0.4238 3.836652 7.754865 17.636637
163 55 1 -0.8476 4.620435 10.923123 1.552094
164 55 2 0.4238 5.436926 10.923123 2.129453
165 55 2 0.4238 3.803945 10.923123 2.129453
166 56 1 -0.8476 4.709544 10.859299 4.678495
167 56 2 0.4238 5.526034 10.859299 5.255854
168 56 2 0.4238 3.893053 10.859299 5.255854
169 57 1 -0.8476 4.619860 10.849005 7.759647
170 57 2 0.4238 5.436350 10.849005 8.337006
171 57 2 0.4238 3.803369 10.849005 8.337006
172 58 1 -0.8476 4.647635 10.871078 10.875563
173 58 2 0.4238 5.464126 10.871078 11.452922
174 58 2 0.4238 3.831145 10.871078 11.452922
175 59 1 -0.8476 4.703528 10.841744 14.020065
176 59 2 0.4238 5.520019 10.841744 14.597424
177 59 2 0.4238 3.887038 10.841744 14.597424
178 60 1 -0.8476 4.641212 10.844652 17.073108
179 60 2 0.4238 5.457702 10.844652 17.650467
180 60 2 0.4238 3.824721 10.844652 17.650467
181 61 1 -0.8476 4.693572 13.951509 1.591441
182 61 2 0.4238 5.510062 13.951509 2.168800
183 61 2 0.4238 3.877081 13.951509 2.168800
184 62 1 -0.8476 4.614500 13.982285 4.695733
185 62 2 0.4238 5.430990 13.982285 5.273092
186 62 2 0.4238 3.798010 13.982285 5.273092
187 63 1 -0.8476 4.666519 13.972999 7.723354
188 63 2 0.4238 5.483009 13.972999 8.300713
189 63 2 0.4238 3.850028 13.972999 8.300713
190 64 1 -0.8476 4.649034 13.990084 10.885517
191 64 2 0.4238 5.465525 13.990084 11.462876
192 64 2 0.4238 3.832544 13.990084 11.462876
193 65 1 -0.8476 4.632989 13.936514 13.962086
194 65 2 0.4238 5.449480 13.936514 14.539445
195 65 2 0.4238 3.816499 13.936514 14.539445
196 66 1 -0.8476 4.626553 13.946744 17.077059
197 66 2 0.4238 5.443044 13.946744 17.654418
198 66 2 0.4238 3.810063 13.946744 17.654418
199 67 1 -0.8476 4.665710 17.126676 1.572297
200 67 2 0.4238 5.482200 17.126676 2.149656
201 67 2 0.4238 3.849219 17.126676 2.149656
202 68 1 -0.8476 4.637062 17.045126 4.669328
203 68 2 0.4238 5.453552 17.045126 5.246687
204 68 2 0.4238 3.820571 17.045126 5.246687
205 69 1 -0.8476 4.640750 17.121697 7.753566
206 69 2 0.4238 5.457240 17.121697 8.330925
207 69 2 0.4238 3.824259 17.121697 8.330925
208 70 1 -0.8476 4.703873 17.128033 10.884420
209 70 2 0.4238 5.520363 17.128033 11.461779
210 70 2 0.4238 3.887382 17.128033 11.461779
211 71 1 -0.8476 4.629682 17.079450 14.016563
212 71 2 0.4238 5.446173 17.079450 14.593922
213 71 2 0.4238 3.813192 17.079450 14.593922
214 72 1 -0.8476 4.621798 17.109224 17.094286
215 72 2 0.4238 5.438289 17.109224 17.671645
216 72 2 0.4238 3.805308 17.109224 17.671645
217 73 1 -0.8476 7.782810 1.557570 1.554898
218 73 2 0.4238 8.599300 1.557570 2.132257
219 73 2 0.4238 6.966320 1.557570 2.132257
220 74 1 -0.8476 7.738761 1.582163 4.697178
221 74 2 0.4238 8.555252 1.582163 5.274537
222 74 2 0.4238 6.922271 1.582163 5.274537
223 75 1 -0.8476 7.775435 1.510305 7.807352
224 75 2 0.4238 8.591925 1.510305 8.384711
225 75 2 0.4238 6.958945 1.510305 8.384711
226 76 1 -0.8476 7.749624 1.585607 10.859433
227 76 2 0.4238 8.566114 1.585607 11.436792
228 76 2 0.4238 6.933134 1.585607 11.436792
229 77 1 -0.8476 7.810452 1.567928 14.008745
230 77 2 0.4238 8.626942 1.567928 14.586104
231 77 2 0.4238 6.993961 1.567928 14.586104
232 78 1 -0.8476 7.723359 1.571804 17.120660
233 78 2 0.4238 8.539850 1.571804 17.698019
234 78 2 0.4238 6.906869 1.571804 17.698019
235 79 1 -0.8476 7.768608 4.657931 1.553786
236 79 2 0.4238 8.585098 4.657931 2.131145
237 79 2 0.4238 6.952117 4.657931 2.131145
238 80 1 -0.8476 7.770733 4.681065 4.638111
239 80 2 0.4238 8.587223 4.681065 5.215470
240 80 2 0.4238 6.954242 4.681065 5.215470
241 81 1 -0.8476 7.754083 4.645209 7.811852
242 81 2 0.4238 8.570573 4.645209 8.389211
243 81 2 0.4238 6.937592 4.645209 8.389211
244 82 1 -0.8476 7.746064 4.675048 10.888347
245 82 2 0.4238 8.562554 4.675048 11.465706
246 82 2 0.4238 6.929573 4.675048 11.465706
247 83 1 -0.8476 7.744245 4.679503 13.999738
248 83 2 0.4238 8.560736 4.679503 14.577097
249 83 2 0.4238 6.927755 4.679503 14.577097
250 84 1 -0.8476 7.723145 4.648149 17.065022
251 84 2 0.4238 8.539636 4.648149 17.642381
252 84 2 0.4238 6.906655 4.648149 17.642381
253 85 1 -0.8476 7.780578 7.769436 1.533533
254 85 2 0.4238 8.597069 7.769436 2.110892
255 85 2 0.4238 6.964088 7.769436 2.110892
256 86 1 -0.8476 7.738802 7.739250 4.626388
257 86 2 0.4238 8.555292 7.739250 5.203747
258 86 2 0.4238 6.922311 7.739250 5.203747
259 87 1 -0.8476 7.784167 7.814031 7.815629
260 87 2 0.4238 8.600658 7.814031 8.392988
261 87 2 0.4238 6.967677 7.814031 8.392988
262 88 1 -0.8476 7.783296 7.769256 10.878792
263 88 2 0.4238 8.599787 7.769256 11.456150
264 88 2 0.4238 6.966806 7.769256 11.456150
265 89 1 -0.8476 7.768510 7.744135 13.959184
266 89 2 0.4238 8.585001 7.744135 14.536543
267 89 2 0.4238 6.952020 7.744135 14.536543
268 90 1 -0.8476 7.733846 7.734310 17.139339
269 90 2 0.4238 8.550337 7.734310 17.716698
270 90 2 0.4238 6.917356 7.734310 17.716698
271 91 1 -0.8476 7.738641 10.858859 1.533358
272 91 2 0.4238 8.555132 10.858859 2.110717
273 91 2 0.4238 6.922151 10.858859 2.110717
274 92 1 -0.8476 7.807129 10.904816 4.653597
275 92 2 0.4238 8.623619 10.904816 5.230956
276 92 2 0.4238 6.990639 10.904816 5.230956
277 93 1 -0.8476 7.779176 10.891709 7.749265
278 93 2 0.4238 8.595667 10.891709 8.326624
279 93 2 0.4238 6.962686 10.891709 8.326624
280 94 1 -0.8476 7.790480 10.886679 10.894944
281 94 2 0.4238 8.606970 10.886679 11.472302
282 94 2 0.4238 6.973989 10.886679 11.472302
283 95 1 -0.8476 7.741421 10.845026 14.022010
284 95 2 0.4238 8.557912 10.845026 14.599369
285 95 2 0.4238 6.924931 10.845026 14.599369
286 96 1 -0.8476 7.740010 10.916908 17.122514
287 96 2 0.4238 8.556500 10.916908 17.699873
288 96 2 0.4238 6.923519 10.916908 17.699873
289 97 1 -0.8476 7.802235 14.030397 1.548424
290 97 2 0.4238 8.618726 14.030397 2.125783
291 97 2 0.4238 6.985745 14.030397 2.125783
292 98 1 -0.8476 7.791768 13.990093 4.641247
293 98 2 0.4238 8.608258 13.990093 5.218606
294 98 2 0.4238 6.975277 13.990093 5.218606
295 99 1 -0.8476 7.785769 13.982182 7.801090
296 99 2 0.4238 8.602259 13.982182 8.378449
297 99 2 0.4238 6.969278 13.982182 8.378449
298 100 1 -0.8476 7.772881 13.961211 10.868409
299 100 2 0.4238 8.589372 13.961211 11.445768
300 100 2 0.4238 6.956391 13.961211 11.445768
301 101 1 -0.8476 7.770181 13.990441 13.936221
302 101 2 0.4238 8.586671 13.990441 14.513580
303 101 2 0.4238 6.953690 13.990441 14.513580
304 102 1 -0.8476 7.778309 14.000972 17.070718
305 102 2 0.4238 8.594800 14.000972 17.648077
306 102 2 0.4238 6.961819 14.000972 17.648077
307 103 1 -0.8476 7.761752 17.058212 1.520803
308 103 2 0.4238 8.578243 17.058212 2.098162
309 103 2 0.4238 6.945262 17.058212 2.098162
310 104 1 -0.8476 7.733333 17.063620 4.691874
311 104 2 0.4238 8.549823 17.063620 5.269233
312 104 2 0.4238 6.916843 17.063620 5.269233
313 105 1 -0.8476 7.726915 17.074141 7.804477
314 105 2 0.4238 8.543405 17.074141 8.381836
315 105 2 0.4238 6.910425 17.074141 8.381836
316 106 1 -0.8476 7.719397 17.136221 10.870914
317 106 2 0.4238 8.535888 17.136221 11.448273
318 106 2 0.4238 6.902907 17.136221 11.448273
319 107 1 -0.8476 7.734811 17.116268 13.989714
320 107 2 0.4238 8.551302 17.116268 14.567073
321 107 2 0.4238 6.918321 17.116268 14.567073
322 108 1 -0.8476 7.741902 17.044229 17.098799
323 108 2 0.4238 8.558393 17.044229 17.676158
324 108 2 0.4238 6.925412 17.044229 17.676158
325 109 1 -0.8476 10.887103 1.552851 1.573637
326 109 2 0.4238 11.703594 1.552851 2.150996
327 109 2 0.4238 10.070613 1.552851 2.150996
328 110 1 -0.8476 10.837563 1.569554 4.648683
329 110 2 0.4238 11.654054 1.569554 5.226042
330 110 2 0.4238 10.021073 1.569554 5.226042
331 111 1 -0.8476 10.887174 1.520615 7.762147
332 111 2 0.4238 11.703665 1.520615 8.339506
333 111 2 0.4238 10.070684 1.520615 8.339506
334 112 1 -0.8476 10.863463 1.567739 10.920959
335 112 2 0.4238 11.679954 1.567739 11.498318
336 112 2 0.4238 10.046973 1.567739 11.498318
337 113 1 -0.8476 10.911156 1.511099 14.022867
338 113 2 0.4238 11.727646 1.511099 14.600226
339 113 2 0.4238 10.094665 1.511099 14.600226
340 114 1 -0.8476 10.841121 1.590583 17.133379
341 114 2 0.4238 11.657611 1.590583 17.710737
342 114 2 0.4238 10.024630 1.590583 17.710737
343 115 1 -0.8476 10.845567 4.681402 1.545077
344 115 2 0.4238 11.662057 4.681402 2.122436
345 115 2 0.4238 10.029076 4.681402 2.122436
346 116 1 -0.8476 10.863474 4.645995 4.703989
347 116 2 0.4238 11.679965 4.645995 5.281348
348 116 2 0.4238 10.046984 4.645995 5.281348
349 117 1 -0.8476 10.871098 4.641058 7.741637
350 117 2 0.4238 11.687589 4.641058 8.318996
351 117 2 0.4238 10.054608 4.641058 8.318996
352 118 1 -0.8476 10.920223 4.669038 10.831820
353 118 2 0.4238 11.736713 4.669038 11.409179
354 118 2 0.4238 10.103732 4.669038 11.409179
355 119 1 -0.8476 10.910742 4.660908 13.953779
356 119 2 0.4238 11.727232 4.660908 14.531138
357 119 2 0.4238 10.094251 4.660908 14.531138
358 120 1 -0.8476 10.893753 4.662420 17.103161
359 120 2 0.4238 11.710243 4.662420 17.680520
360 120 2 0.4238 10.077262 4.662420 17.680520
361 121 1 -0.8476 10.837090 7.739618 1.527004
362 121 2 0.4238 11.653581 7.739618 2.104363
363 121 2 0.4238 10.020600 7.739618 2.104363
364 122 1 -0.8476 10.841657 7.788762 4.637272
365 122 2 0.4238 11.658147 7.788762 5.214631
366 122 2 0.4238 10.025166 7.788762 5.214631
367 123 1 -0.8476 10.895604 7.747155 7.741226
368 123 2 0.4238 11.712095 7.747155 8.318585
369 123 2 0.4238 10.079114 7.747155 8.318585
370 124 1 -0.8476 10.836564 7.793088 10.883189
371 124 2 0.4238 11.653054 7.793088 11.460548
372 124 2 0.4238 10.020073 7.793088 11.460548
373 125 1 -0.8476 10.876630 7.724294 13.996132
374 125 2 0.4238 11.693120 7.724294 14.573491
375 125 2 0.4238 10.060140 7.724294 14.573491
376 126 1 -0.8476 10.836475 7.731355 17.049531
377 126 2 0.4238 11.652965 7.731355 17.626890
378 126 2 0.4238 10.019984 7.731355 17.626890
379 127 1 -0.8476 10.878341 10.829954 1.522305
